word_id,word
1174,balfasz
1175,balfaszok
1176,balfaszokat
1177,balfaszt
1178,barmok
1179,barmokat
1180,barmot
1181,barom
1182,baszik
1183,bazmeg
1184,buksza
1185,bukszák
1186,bukszákat
1187,bukszát
1188,búr
1189,búrok
1190,csöcs
1191,csöcsök
1192,csöcsöket
1193,csöcsöt
1194,fasz
1195,faszfej
1196,faszfejek
1197,faszfejeket
1198,faszfejet
1199,faszok
1200,faszokat
1201,faszt
1202,fing
1203,fingok
1204,fingokat
1205,fingot
1206,franc
1207,francok
1208,francokat
1209,francot
1210,geci
1211,gecibb
1212,gecik
1213,geciket
1214,gecit
1215,kibaszott
1216,kibaszottabb
1217,kúr
1218,kurafi
1219,kurafik
1220,kurafikat
1221,kurafit
1222,kurva
1223,kurvák
1224,kurvákat
1225,kurvát
1226,leggecibb
1227,legkibaszottabb
1228,legszarabb
1229,marha
1230,marhák
1231,marhákat
1232,marhát
1233,megdöglik
1234,pele
1235,pelék
1236,picsa
1237,picsákat
1238,picsát
1239,pina
1240,pinák
1241,pinákat
1242,pinát
1243,pofa
1244,pofákat
1245,pofát
1246,pöcs
1247,pöcsök
1248,pöcsöket
1249,pöcsöt
1250,punci
1251,puncik
1252,segg
1253,seggek
1254,seggeket
1255,segget
1256,seggfej
1257,seggfejek
1258,seggfejeket
1259,seggfejet
1260,szajha
1261,szajhák
1262,szajhákat
1263,szajhát
1264,szar
1265,szarabb
1266,szarik
1267,szarok
1268,szarokat
1269,szart
